"","CBSAFP","metro_area","CSAFP"
"146",16300,"iowa nonmetropolitan area",168
"147",16340,"atlanta metropolitan area",122
"148",16380,"ohio nonmetropolitan area",338
"149",16420,"kentucky nonmetropolitan area",NA
"150",16460,"st louis metropolitan area",476
"151",16500,"seattle metropolitan area",500
"152",16540,"baltimore metropolitan area",548
"153",16580,"illinois nonmetropolitan area",NA
"154",16620,"west virginia nonmetropolitan area",170
"155",16660,"illinois nonmetropolitan area",NA
"156",16700,"charleston metropolitan area",NA
"157",16740,"charlotte metropolitan area",172
"158",16820,"virginia nonmetropolitan area",NA
"159",16860,"chattanooga metropolitan area",174
"160",16940,"wyoming nonmetropolitan area",NA
"161",16980,"chicago metropolitan area",176
"162",17020,"california nonmetropolitan area",NA
"163",17060,"columbus metropolitan area",198
"164",17140,"cincinnati metropolitan area",178
"165",17220,"west virginia nonmetropolitan area",NA
"166",17260,"mississippi nonmetropolitan area",NA
"167",17300,"tennessee nonmetropolitan area",NA
"168",17340,"california nonmetropolitan area",NA
"169",17380,"mississippi nonmetropolitan area",185
"170",17420,"chattanooga metropolitan area",174
"171",17460,"cleveland metropolitan area",184
"172",17500,"florida nonmetropolitan area",163
"173",17540,"iowa nonmetropolitan area",209
"174",17580,"new mexico nonmetropolitan area",188
"175",17660,"spokane metropolitan area",518
"176",17700,"kansas nonmetropolitan area",NA
"177",17740,"michigan nonmetropolitan area",310
"178",17780,"texas nonmetropolitan area",NA
"179",17820,"colorado springs metropolitan area",NA
"180",17860,"missouri nonmetropolitan area",190
"181",17900,"columbia metropolitan area",192
"182",17980,"georgia nonmetropolitan area (united states)",194
"183",18020,"indianapolis metropolitan area",294
"184",18060,"mississippi nonmetropolitan area",200
"185",18100,"nebraska nonmetropolitan area",NA
"186",18140,"columbus metropolitan area",198
"187",18180,"boston metropolitan area",148
"188",18220,"indiana nonmetropolitan area",458
"189",18260,"tennessee nonmetropolitan area",NA
"190",18300,"oregon nonmetropolitan area",NA
"191",18380,"georgia nonmetropolitan area (united states)",NA
"192",18420,"mississippi nonmetropolitan area",539
"193",18460,"atlanta metropolitan area",122
"194",18500,"new york nonmetropolitan area",236
"195",18580,"corpus christi metropolitan area",204
"196",18620,"dallas metropolitan area",206
"197",18660,"new york nonmetropolitan area",296
"198",18700,"portland metropolitan area",440
"199",18740,"ohio nonmetropolitan area",NA
"200",18780,"colorado nonmetropolitan area",525
"201",18820,"indianapolis metropolitan area",294
"202",18860,"california nonmetropolitan area",NA
"203",18880,"florida nonmetropolitan area",NA
"204",18900,"tennessee nonmetropolitan area",NA
"205",18980,"birmingham metropolitan area (alabama)",142
"206",19000,"north carolina nonmetropolitan area",NA
"207",19060,"maryland nonmetropolitan area",NA
"208",19100,"dallas metropolitan area",206
"209",19140,"chattanooga metropolitan area",174
"210",19180,"illinois nonmetropolitan area",NA
"211",19220,"kentucky nonmetropolitan area",NA
"212",19260,"virginia nonmetropolitan area",NA
"213",19300,"mobile metropolitan area",380
"214",19340,"iowa nonmetropolitan area",209
"215",19420,"chattanooga metropolitan area",174
"216",19430,"dayton metropolitan area",212
"217",19460,"huntsville metropolitan area",290
"218",19500,"illinois nonmetropolitan area",NA
"219",19540,"fort wayne metropolitan area",258
